entry_time,exit_time,side,entry,sl,tp,exit,qty,pnl,fee,result,reason,balance
2025-07-14 03:41:00,2025-07-14 03:42:00,BUY,119995.43021428572,119592.7,120800.89064285716,120800.89064285716,0.010426503582804461,7.393870563450134,1.004265480857253,WIN,TP,1047.0527948403226
2025-07-16 14:46:00,2025-07-16 18:45:00,BUY,118734.80311428572,118200.0,119804.40934285717,119804.40934285717,0.008315525628698391,8.100906432446505,0.7934315738547609,WIN,TP,1055.153701272769
2025-07-30 18:56:00,2025-07-30 23:48:00,SELL,116612.46032857143,117862.85,114111.68098571427,117862.85,0.003924897936861094,-5.275768506363845,0.36811666470138993,LOSS,SL,1049.8779327664051
2025-08-01 00:46:00,2025-08-01 02:38:00,SELL,115279.4678,115933.0,113972.4034,115933.0,0.007036553251671437,-5.249389663832026,0.650775536850027,LOSS,SL,1044.628543102573
2025-08-05 14:26:00,2025-08-06 14:55:00,SELL,113302.22385714286,114573.17,110760.33157142859,114573.17,0.0038346354174657333,-5.223142715512864,0.3495276224214214,LOSS,SL,1039.4054003870601
2025-08-06 15:56:00,2025-08-06 21:40:00,BUY,115388.67002857142,114873.57,116418.87008571424,114873.57,0.00855893421072919,-5.197027001935302,0.7883197454478705,LOSS,SL,1034.2083733851248
2025-08-11 02:01:00,2025-08-11 19:51:00,BUY,120660.66727142857,118979.2,124023.6018142857,118979.2,0.0029094549677709364,-5.171041866925624,0.27888856092353026,LOSS,SL,1029.0373315181992
2025-08-15 14:46:00,2025-08-17 08:51:00,SELL,117595.35492857143,118274.0,116238.06478571428,118274.0,0.006656189512241296,-5.145186657590996,0.6279964506138709,LOSS,SL,1023.8921448606081
2025-08-18 02:06:00,2025-08-19 14:43:00,SELL,116095.14841428571,117200.2,113885.04524285713,113885.04524285713,0.004272021077602961,9.048615238126228,0.39299209389381007,WIN,TP,1032.9407600987345
2025-08-20 14:06:00,2025-08-20 14:33:00,SELL,112584.9913,113646.67,110461.63389999999,113646.67,0.004482583025004526,-5.1647038004936725,0.4056408818647814,LOSS,SL,1027.7760562982407
2025-08-22 15:46:00,2025-08-22 15:59:00,BUY,117204.43427142857,116390.29,118832.72281428573,116390.29,0.005662165368094567,-5.138880281491204,0.5290607831757129,LOSS,SL,1022.6371760167495
2025-08-25 07:51:00,2025-08-25 13:45:00,SELL,111701.46857142857,112165.19,110774.02571428572,110774.02571428572,0.009241787036010281,7.7488009182153235,0.8224284555678775,WIN,TP,1030.385976934965
2025-08-26 15:41:00,2025-08-26 18:38:00,SELL,109716.87805714285,110561.76,108027.11417142856,110561.76,0.005521936055793037,-5.151929884674825,0.4865458215234885,LOSS,SL,1025.23404705029
2025-08-29 13:41:00,2025-08-29 20:08:00,SELL,109768.87577142857,110780.57,107745.48731428571,107745.48731428571,0.004660519098026811,9.02454860993888,0.40549193730244376,WIN,TP,1034.2585956602288
2025-09-01 10:36:00,2025-09-02 02:36:00,SELL,108491.23884285714,109625.57,106222.57652857142,109625.57,0.0042332896330952545,-5.171292978301144,0.36934065027131463,LOSS,SL,1029.0873026819277
2025-09-02 13:36:00,2025-09-10 12:30:00,BUY,110064.91334285714,108402.18,113390.38002857142,113390.38002857142,0.002940047530243567,9.514242442882942,0.2627876733586081,WIN,TP,1038.6015451248106
2025-10-03 16:01:00,2025-10-06 18:56:00,BUY,122814.13534285715,121222.0,125998.40602857144,125998.40602857144,0.003073240627021425,9.48016571450848,0.3058643242620494,WIN,TP,1048.0817108393192
2025-10-09 13:56:00,2025-10-09 16:55:00,SELL,122404.35572857143,123500.0,120213.0671857143,120213.0671857143,0.004388929782581079,9.191479214693729,0.42593233328063107,WIN,TP,1057.273190054013
2025-10-10 15:21:00,2025-10-10 19:21:00,SELL,119653.59525714285,121407.45,116145.88577142856,116145.88577142856,0.0028570639835381766,9.752272754516042,0.26947768183349,WIN,TP,1067.025462808529
2025-10-11 20:51:00,2025-10-11 21:46:00,SELL,110414.57722857142,110983.99,109275.75168571425,110983.99,0.008108438818030162,-5.335127314042646,0.7180786947089636,LOSS,SL,1061.6903354944864
2025-10-13 13:31:00,2025-10-13 14:27:00,BUY,115255.53908571429,114220.07,117326.47725714286,114220.07,0.004709166328692193,-5.308451677472433,0.4322555246250313,LOSS,SL,1056.3818838170139
2025-10-14 10:16:00,2025-10-14 14:16:00,SELL,110855.23481428571,111750.89,109063.92444285713,111750.89,0.005363991166336136,-5.2819094190850695,0.4776229148304592,LOSS,SL,1051.099974397929
2025-10-16 16:01:00,2025-10-17 08:16:00,SELL,108509.4865,110450.0,104628.4595,104628.4595,0.0025913450434468335,9.836154495958324,0.22092558397501552,WIN,TP,1060.9361288938871
2025-10-22 21:01:00,2025-10-22 23:31:00,SELL,107115.45199999999,107926.59,105493.17599999998,107926.59,0.0059127817686921635,-5.304680644469435,0.5085986661759738,LOSS,SL,1055.6314482494176
2025-10-23 17:36:00,2025-10-23 20:58:00,BUY,110747.65090000001,109650.0,112942.95270000002,109650.0,0.004451098757548518,-5.278157241247089,0.39240468403504086,LOSS,SL,1050.3532910081706
2025-10-26 22:01:00,2025-10-26 22:03:00,BUY,113731.1830142857,112901.0,115391.54904285712,115391.54904285712,0.0057032599688831955,8.946800502163857,0.5226986022810612,WIN,TP,1059.3000915103344
2025-10-29 14:16:00,2025-10-29 16:07:00,SELL,112609.14507142857,113304.78,111217.87521428573,111217.87521428573,0.006738545925843134,8.771828365342335,0.6033074622559635,WIN,TP,1068.0719198756767
2025-10-29 16:11:00,2025-10-30 04:27:00,SELL,111054.34012857144,112158.0,108847.0203857143,108847.0203857143,0.004476619174578155,9.487564026501518,0.3937658587976301,WIN,TP,1077.5594839021783
2025-10-30 12:41:00,2025-10-30 19:40:00,SELL,108625.1523,109777.93,106319.59690000002,106319.59690000002,0.004344511148299293,9.642979194654442,0.3735319436671182,WIN,TP,1087.2024630968326
2025-10-31 16:41:00,2025-11-01 03:57:00,SELL,109739.6429857143,110300.0,108618.92895714288,110300.0,0.00838408353371693,-5.436012315484163,0.7379322990085917,LOSS,SL,1081.7664507813483
2025-11-03 02:46:00,2025-11-03 15:26:00,SELL,108720.15708571428,109754.14,106652.19125714284,106652.19125714284,0.004823403116997512,9.55910176085102,0.4155310625248043,WIN,TP,1091.3255525421994
2025-11-04 16:16:00,2025-11-04 18:33:00,SELL,103017.94988571429,104420.26,100213.32965714288,100213.32965714288,0.0036737907537345367,10.004936185200812,0.298651678261675,WIN,TP,1101.3304887274003
2025-11-12 16:01:00,2025-11-13 07:02:00,SELL,102001.76765714286,103699.67,98605.96297142858,103699.67,0.003093307091201108,-5.506652443637001,0.2545190863100411,LOSS,SL,1095.8238362837633
2025-11-13 09:06:00,2025-11-13 13:28:00,SELL,103355.27764285714,103811.49,102442.8529285714,102442.8529285714,0.010163850806467123,8.437068069982463,0.8366805981511362,WIN,TP,1104.2609043537457
2025-11-13 16:16:00,2025-11-13 18:11:00,SELL,101099.82267142857,102015.6,99268.2680142857,99268.2680142857,0.0055377877601058235,9.698922578244561,0.44383838404604886,WIN,TP,1113.9598269319902
2025-11-14 12:36:00,2025-11-14 14:36:00,SELL,95327.85768571429,96209.62,93564.33305714288,96209.62,0.005811697651341813,-5.569799134659951,0.4452631636840002,LOSS,SL,1108.3900277973303
2025-11-17 13:31:00,2025-11-17 14:36:00,SELL,94407.84595714285,95430.0,92363.53787142856,95430.0,0.0050469035062602795,-5.5419501389866515,0.3832373161528012,LOSS,SL,1102.8480776583435
2025-11-18 03:01:00,2025-11-18 12:41:00,SELL,90626.46830000001,91750.0,88379.40490000002,91750.0,0.004608710422820464,-5.514240388291717,0.33620813213255846,LOSS,SL,1097.3338372700518
2025-11-19 04:31:00,2025-11-19 05:30:00,SELL,91572.73879999999,91976.12,90765.97639999999,90765.97639999999,0.011507258033711675,8.444335650559847,0.839287458136746,WIN,TP,1105.7781729206117
2025-11-20 14:06:00,2025-11-20 16:22:00,SELL,91147.56205714284,92541.92,88358.84617142854,88358.84617142854,0.0037667010439991428,10.233800248025439,0.2704587901116384,WIN,TP,1116.0119731686373
2025-11-21 02:51:00,2025-11-21 07:33:00,SELL,86026.32048571428,86819.11,84440.74145714285,84440.74145714285,0.006473930415939428,9.823491541053208,0.44143675889107736,WIN,TP,1125.8354647096905
2025-11-21 09:21:00,2025-11-21 10:02:00,SELL,83353.61977142857,84000.0,82060.8593142857,82060.8593142857,0.007891499037750386,9.679670622570729,0.5221472810139582,WIN,TP,1135.5151353322613
2025-11-22 04:16:00,2025-11-22 06:22:00,SELL,84040.58294285715,84548.3,83025.14882857143,84548.3,0.009871424687618898,-5.677575676661307,0.665684984456085,LOSS,SL,1129.8375596556
2025-11-24 16:41:00,2025-11-24 17:58:00,BUY,87230.25745714286,86616.43,88457.91237142858,88457.91237142858,0.008266707307699453,9.567718780299677,0.5809450709592777,WIN,TP,1139.4052784358996
2025-11-24 18:46:00,2025-11-24 19:54:00,BUY,88436.59138571427,88200.0,88909.77415714282,88200.0,0.018542229937153803,-5.697026392179497,1.3100945171155978,LOSS,SL,1133.7082520437202
2025-12-01 04:26:00,2025-12-01 07:42:00,SELL,85705.50367142858,86472.29,84171.93101428576,86472.29,0.006783331240666502,-5.668541260218601,0.4671756027041731,LOSS,SL,1128.0397107835017
2025-12-02 17:21:00,2025-12-03 04:58:00,BUY,91511.03110000001,90545.41,93442.27330000002,93442.27330000002,0.005431395733713028,10.087518810464891,0.40182183538171484,WIN,TP,1138.1272295939666
2025-12-03 06:21:00,2025-12-03 06:44:00,BUY,93815.46401428571,93391.06,94664.27204285713,93391.06,0.011397533752491045,-5.690636147969833,0.8534770704557386,LOSS,SL,1132.4365934459968
2025-12-04 20:41:00,2025-12-05 09:16:00,BUY,92131.69375714286,91688.92,93017.24127142857,91688.92,0.010966804192536414,-5.662182967229985,0.8063698710505804,LOSS,SL,1126.7744104787669
2025-12-08 01:11:00,2025-12-08 07:36:00,BUY,90729.68584285714,90223.68,91741.69752857144,91741.69752857144,0.009740658433742198,9.146703593757252,0.7109565677414047,WIN,TP,1135.9211140725242
2025-12-09 16:31:00,2025-12-10 11:42:00,BUY,93414.89334285715,91950.65,96343.38002857145,91950.65,0.003691916350267807,-5.679605570362622,0.27374163209750807,LOSS,SL,1130.2415085021617
