ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_ema50_slope,session,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.005,1.5,fixed,25,False,all,2.0804614368221794,1020.8046143682218,305,0.8333333333333334,45.90163934426229,1.0248204528938467,-7.906191569742628,6.1357791179913574,-5.080027043336786,0.06821185038760759,7,3133,False
50/200,8,8,50,0.002,0.005,1.5,partial_1r,18,False,14_20,1.3902907932637505,1013.9029079326375,386,1.0546448087431695,61.398963730569946,1.0241083093466725,-5.4792008962823955,2.4919334236086264,-3.8703712312926517,0.03601789619854747,5,1783,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,25,False,all,1.7792689401275312,1017.7926894012753,299,0.8169398907103825,42.14046822742475,1.0237264816150724,-7.176175864502129,6.092866302585724,-4.334731009968367,0.059507322412286685,7,3133,False
50/200,8,8,50,0.002,0.005,1.5,be_1_no_lock,18,False,14_20,1.3358458010686378,1013.3584580106864,247,0.674863387978142,38.46153846153847,1.023467942453288,-5.537825115460755,6.1324208822349835,-3.744878459221302,0.054082825954192636,7,1783,False
50/200,8,8,50,0.002,0.005,2.0,fixed,25,False,all,1.9438191057938525,1019.4381910579385,276,0.7540983606557377,38.405797101449274,1.0220947396091133,-7.608871580224304,8.483054294832588,-5.175091554084213,0.07042822847079011,7,3133,False
50/200,8,8,50,0.002,0.005,2.5,be_1_2,20,False,14_20,1.136420038947324,1011.3642003894732,203,0.5546448087431693,23.645320197044335,1.0219126671816103,-6.679917745237714,11.041197687681139,-3.3458921846401366,0.05598128270676585,7,1694,False
50/200,8,8,50,0.002,0.005,1.5,be_1_no_lock,25,False,all,1.3328075955774012,1013.328075955774,296,0.8087431693989071,38.513513513513516,1.0197890498141928,-5.632579935105196,6.0248745761749,-3.700591350154754,0.04502728363436974,7,3133,False
50/200,8,8,50,0.002,0.005,2.0,partial_1r,18,False,all,1.2842009340564233,1012.8420093405642,460,1.2568306010928962,54.347826086956516,1.0190338714411207,-5.19236383227974,2.750137834203332,-3.2128211867155705,0.02791741160991977,5,3634,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,25,True,all,1.2434634689048267,1012.4346346890483,259,0.7076502732240437,31.27413127413127,1.019014958833574,-7.123183863930087,8.226842478496213,-3.6738180116244097,0.04801017254458834,6,2848,False
50/200,8,8,50,0.002,0.005,2.0,fixed,25,True,14_20,0.9687275653303801,1009.6872756533038,178,0.48633879781420764,37.640449438202246,1.0175482275244478,-6.549136137066314,8.383948474371186,-4.973308757924002,0.0544228969286807,6,1354,False
