length,signal,atr_stop,trend_filter,rr,start_balance,end_balance,profit_pct,trades,trades_per_day,wins,losses,winrate,profit_factor,max_drawdown_pct,expectancy,trade_log,equity_log
89,13,2.0,False,2.0,1000.0,999.2542533342487,-0.07457466657513123,11,0.030054644808743168,4,7,36.36363636363637,0.9787670889050976,-2.133549262009961,-0.06779515143193038,andean_trades.csv,andean_equity.csv
34,9,2.0,True,2.0,1000.0,995.8817552221892,-0.4118244777810787,45,0.12295081967213115,17,28,37.77777777777778,0.9708878611720363,-4.061450366165616,-0.09151655061801181,andean_trades.csv,andean_equity.csv
20,9,2.0,True,2.0,1000.0,982.3168922837511,-1.7683107716248856,121,0.33060109289617484,45,76,37.1900826446281,0.9535381966327336,-9.020194877422604,-0.1461413860846966,andean_trades.csv,andean_equity.csv
89,9,1.5,False,2.0,1000.0,997.9300880366064,-0.20699119633935653,11,0.030054644808743168,4,7,36.36363636363637,0.940812760939116,-2.962749064373443,-0.1881738148539579,andean_trades.csv,andean_equity.csv
34,9,2.0,False,2.0,1000.0,988.4746418266778,-1.1525358173322162,57,0.1557377049180328,21,36,36.84210526315789,0.9368936223006344,-5.575453741221184,-0.2021992661986354,andean_trades.csv,andean_equity.csv
89,13,1.5,True,2.0,1000.0,997.9635898872134,-0.2036410112786598,10,0.0273224043715847,4,6,40.0,0.9319266037912254,-2.4751246878124955,-0.20364101127867187,andean_trades.csv,andean_equity.csv
50,13,1.5,False,2.0,1000.0,994.6613322246228,-0.5338667775377189,17,0.04644808743169399,6,11,35.294117647058826,0.9038379266779583,-2.9627490643734307,-0.31403928090453304,andean_trades.csv,andean_equity.csv
20,13,1.5,True,2.0,1000.0,963.9116144682836,-3.6088385531716427,113,0.3087431693989071,42,71,37.16814159292036,0.899234488990899,-9.062558147579946,-0.3193662436435047,andean_trades.csv,andean_equity.csv
34,13,2.0,False,2.0,1000.0,976.7861952119931,-2.3213804788006884,47,0.1284153005464481,16,31,34.04255319148936,0.8514705354338913,-5.943092829464592,-0.49391074017036163,andean_trades.csv,andean_equity.csv
34,9,1.0,False,2.0,1000.0,964.9409644716933,-3.5059035528306706,58,0.15846994535519127,22,36,37.93103448275862,0.8011275072834835,-4.771642520989529,-0.6044661297983964,andean_trades.csv,andean_equity.csv
20,13,1.0,True,2.0,1000.0,928.9591858564347,-7.104081414356528,115,0.31420765027322406,43,72,37.391304347826086,0.796511815667824,-8.608008806049407,-0.6177462099440459,andean_trades.csv,andean_equity.csv
20,13,2.0,False,2.0,1000.0,899.1876699971803,-10.081233000281975,144,0.39344262295081966,47,97,32.63888888888889,0.7865097512238134,-12.757887496890277,-0.7000856250195828,andean_trades.csv,andean_equity.csv
20,9,2.0,False,2.0,1000.0,886.1339165622873,-11.386608343771275,159,0.4344262295081967,52,107,32.70440251572327,0.7775647167134877,-13.683583226942,-0.716138889545365,andean_trades.csv,andean_equity.csv
50,9,1.5,False,2.0,1000.0,984.7395854356823,-1.526041456431767,19,0.05191256830601093,6,13,31.57894736842105,0.7663353950836933,-3.4479353190515676,-0.8031797139114567,andean_trades.csv,andean_equity.csv
34,13,1.0,True,2.0,1000.0,969.5350831637172,-3.046491683628278,40,0.1092896174863388,14,26,35.0,0.7636133843140115,-3.6299127323543026,-0.7616229209070763,andean_trades.csv,andean_equity.csv
20,13,1.5,False,2.0,1000.0,867.0640107330627,-13.293598926693734,157,0.42896174863387976,51,106,32.48407643312102,0.7365382682670087,-15.444850498060827,-0.8467260462862217,andean_trades.csv,andean_equity.csv
89,13,2.0,True,2.0,1000.0,990.6488793122294,-0.9351120687770618,10,0.0273224043715847,3,7,30.0,0.7317736695011757,-2.1335492620099554,-0.9351120687770511,andean_trades.csv,andean_equity.csv
34,9,1.5,False,2.0,1000.0,948.0559640578493,-5.194403594215066,58,0.15846994535519127,19,39,32.758620689655174,0.7300192651652525,-5.892280751966447,-0.895586826588809,andean_trades.csv,andean_equity.csv
