ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_m15_adx_rising,require_ema50_slope,use_h1_bias,session,min_hold_minutes,partial_pct,trail_type,regime,use_atr_expansion,atr_ma_period,atr_expansion_ratio_min,use_bb_width,bb_length,use_donchian,donchian_n,chop_max,high_vol_day_only,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,all,0,0.5,prev_candle,donchian_100,False,50,1.0,False,20,True,100,0.0,False,20.023317983708218,1200.2331798370822,10,0.0273224043715847,10.0,9.930793627461895,-2.242053597805375,222.65371581513588,-2.4911706642281892,20.023317983708218,1,203,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,all,0,0.5,prev_candle,donchian_50_high_vol,False,50,1.0,False,20,True,50,0.0,True,20.00931087152096,1200.0931087152096,10,0.0273224043715847,10.0,9.879363613201287,-2.253462268599128,222.62773140120098,-2.5038469651101254,20.009310871520984,2,128,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,all,0,0.5,prev_candle,donchian_50_high_vol,False,50,1.0,False,20,True,50,0.0,True,20.00931087152096,1200.0931087152096,10,0.0273224043715847,10.0,9.879363613201287,-2.253462268599128,222.62773140120098,-2.5038469651101254,20.009310871520984,2,128,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,donchian_50,False,50,1.0,False,20,True,50,0.0,False,10.251396731287127,1102.5139673128713,9,0.02459016393442623,11.11111111111111,9.621385013572363,-1.1890661088848902,114.40462840172026,-1.4863326361061309,11.390440812541247,2,115,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,donchian_50,False,50,1.0,False,20,True,50,0.0,False,10.251396731287127,1102.5139673128713,9,0.02459016393442623,11.11111111111111,9.621385013572363,-1.1890661088848902,114.40462840172026,-1.4863326361061309,11.390440812541247,2,115,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_50_1.1_plus_donchian20,True,50,1.1,False,20,True,20,0.0,False,10.24074603575507,1102.4074603575507,9,0.02459016393442623,11.11111111111111,9.543840159597165,-1.1986116130990239,114.39357648854102,-1.4982645163737927,11.37860670639452,2,97,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_50_1.1_plus_donchian20,True,50,1.1,False,20,True,20,0.0,False,10.24074603575507,1102.4074603575507,9,0.02459016393442623,11.11111111111111,9.543840159597165,-1.1986116130990239,114.39357648854102,-1.4982645163737927,11.37860670639452,2,97,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,donchian20_plus_chop50,False,50,1.0,False,20,True,20,50.0,False,10.24074603575507,1102.4074603575507,9,0.02459016393442623,11.11111111111111,9.543840159597165,-1.1986116130990239,114.39357648854102,-1.4982645163737927,11.37860670639452,3,109,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,donchian20_plus_chop50,False,50,1.0,False,20,True,20,50.0,False,10.24074603575507,1102.4074603575507,9,0.02459016393442623,11.11111111111111,9.543840159597165,-1.1986116130990239,114.39357648854102,-1.4982645163737927,11.37860670639452,3,109,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,all,0,0.5,prev_candle,donchian_20,False,50,1.0,False,20,True,20,0.0,False,19.423201393789668,1194.2320139378967,11,0.030054644808743168,9.090909090909092,8.112528639677015,-2.7308433298163437,221.54044723606023,-2.730843329816343,17.65745581253607,1,253,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,all,0,0.5,prev_candle,donchian_20,False,50,1.0,False,20,True,20,0.0,False,19.423201393789668,1194.2320139378967,11,0.030054644808743168,9.090909090909092,8.112528639677015,-2.7308433298163437,221.54044723606023,-2.730843329816343,17.65745581253607,1,253,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,all,0,0.5,prev_candle,donchian20_plus_chop50,False,50,1.0,False,20,True,20,50.0,False,19.423201393789668,1194.2320139378967,11,0.030054644808743168,9.090909090909092,8.112528639677015,-2.7308433298163437,221.54044723606023,-2.730843329816343,17.65745581253607,1,224,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,all,0,0.5,prev_candle,donchian20_plus_chop50,False,50,1.0,False,20,True,20,50.0,False,19.423201393789668,1194.2320139378967,11,0.030054644808743168,9.090909090909092,8.112528639677015,-2.7308433298163437,221.54044723606023,-2.730843329816343,17.65745581253607,1,224,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_50_1.2_plus_chop50,True,50,1.2,False,20,False,20,50.0,False,19.33623771962566,1193.3623771962566,13,0.03551912568306011,7.6923076923076925,7.901671777654829,-2.801674484467617,221.37912204093288,-2.3347287370563348,14.874029015096681,5,428,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_50_1.2_plus_chop50,True,50,1.2,False,20,False,20,50.0,False,19.33623771962566,1193.3623771962566,13,0.03551912568306011,7.6923076923076925,7.901671777654829,-2.801674484467617,221.37912204093288,-2.3347287370563348,14.874029015096681,5,428,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_expansion_50_1.3_high_vol,True,50,1.3,False,20,False,20,0.0,True,19.20590173247583,1192.0590173247583,15,0.040983606557377046,6.666666666666667,7.604886962615608,-2.907832010022787,221.13733742498607,-2.0770228643019886,12.803934488317216,5,294,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_expansion_50_1.3_high_vol,True,50,1.3,False,20,False,20,0.0,True,19.20590173247583,1192.0590173247583,15,0.040983606557377046,6.666666666666667,7.604886962615608,-2.907832010022787,221.13733742498607,-2.0770228643019886,12.803934488317216,5,294,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,all,0,0.5,prev_candle,donchian20_plus_chop50_high_vol,False,50,1.0,False,20,True,20,50.0,True,18.92578079196369,1189.257807919637,11,0.030054644808743168,9.090909090909092,7.035029579752143,-3.135988074600459,220.6176886656415,-3.1359880746004523,17.205255265421545,2,137,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,all,0,0.5,prev_candle,donchian20_plus_chop50_high_vol,False,50,1.0,False,20,True,20,50.0,True,18.92578079196369,1189.257807919637,11,0.030054644808743168,9.090909090909092,7.035029579752143,-3.135988074600459,220.6176886656415,-3.1359880746004523,17.205255265421545,2,137,False
