ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_m15_adx_rising,require_ema50_slope,use_h1_bias,session,min_hold_minutes,partial_pct,trail_type,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.005,1.5,fixed,20,True,False,True,14_20,0,0.0,none,-2.290397818155054,977.0960218184495,173,0.4726775956284153,43.35260115606936,0.9524076592224912,-6.688649168344532,6.111326287774533,-4.910749487394291,-0.13239293746560973,8,990,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,False,True,14_20,0,0.0,none,-3.731176878657061,962.6882312134294,161,0.43989071038251365,35.40372670807454,0.9273356965186957,-8.354115789182677,8.35385330110047,-4.937321220666323,-0.2317501166867754,9,990,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,False,all,15,0.3,ema20,-8.794022675118947,912.0597732488105,376,1.0273224043715847,52.92553191489362,0.8656285183651382,-12.489731863812775,2.8468130941885996,-3.6974917090097184,-0.23388358178507657,9,2128,False
50/200,8,8,50,0.002,0.005,0.0,trailing_only,20,True,False,False,all,25,0.0,prev_candle,-9.624299799379845,903.7570020062016,280,0.7650273224043715,36.42857142857142,0.8542470152456213,-15.40311127396631,5.530125460312902,-3.7096392974478323,-0.3437249928349932,8,2128,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,True,all,15,0.3,ema20,-11.151744804405542,888.4825519559446,364,0.994535519125683,52.197802197802204,0.8281459220048032,-13.792384721349196,2.8283701623165696,-3.7293550510586444,-0.3063666155056483,9,2078,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,False,all,25,0.3,ema20,-12.089699316432426,879.1030068356757,366,1.0,51.63934426229508,0.820429795402336,-14.717989700082413,2.922542545195046,-3.803714882520834,-0.330319653454437,9,2128,False
50/200,8,8,50,0.002,0.005,0.0,trailing_only,20,True,False,False,14_20,15,0.0,ema20,-9.084875710630934,909.1512428936907,167,0.4562841530054645,26.94610778443114,0.8195226908228438,-13.702106818628938,9.167371937979727,-4.1260696255360445,-0.5440045335707167,10,1009,False
50/200,8,8,50,0.002,0.005,0.0,trailing_only,20,True,False,False,all,15,0.0,prev_candle,-11.700696641446802,882.993033585532,286,0.7814207650273224,35.66433566433567,0.8095060346040872,-13.260552866847911,4.874728317785141,-3.338202471894303,-0.40911526718345265,8,2128,False
50/200,8,8,50,0.002,0.005,0.0,trailing_only,20,True,False,False,14_20,25,0.0,ema20,-10.037052944832068,899.6294705516793,167,0.4562841530054645,27.54491017964072,0.8046639685994094,-14.043105754708865,8.98836247968663,-4.246571929866994,-0.6010211344210856,10,1009,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,True,all,25,0.3,ema20,-13.365925581115118,866.3407441888488,355,0.9699453551912568,51.267605633802816,0.7996401002839627,-15.883856070785912,2.930970248493473,-3.856045323913085,-0.37650494594690603,10,2078,False
