ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,passes_robust_filter
50/200,8,4,50,0.001,0.005,-24.25311405680725,757.4688594319275,449,1.226775956284153,36.080178173719375,0.765549451018987,-27.63294799007267,4.888487285968751,-3.6044114316899294,-0.5401584422451493,False
20/50,8,8,50,0.001,0.005,-25.334089077864704,746.659109221353,454,1.2404371584699454,36.12334801762114,0.7552995486808445,-27.308212999828545,4.768105982182143,-3.570035420194894,-0.5580195832128806,False
20/50,8,12,20,0.001,0.005,-26.333326200687544,736.6667379931246,467,1.2759562841530054,36.61670235546038,0.7346622551707347,-28.199249114490254,4.263814503473074,-3.3528565611512575,-0.5638827880232903,False
20/50,16,4,20,0.0005,0.005,-27.84251807982822,721.5748192017178,487,1.330601092896175,36.96098562628337,0.7378108339798416,-30.588451888319707,4.352775728133258,-3.4590384751213947,-0.5717149503044797,False
50/200,16,8,50,0.001,0.005,-25.27605131218395,747.2394868781605,440,1.2021857923497268,36.36363636363637,0.741148616084722,-26.62995404657401,4.52318193328719,-3.4873915087421063,-0.5744557116405441,False
50/200,16,12,20,0.001,0.005,-27.49747518011525,725.0252481988475,449,1.226775956284153,34.96659242761693,0.7304241498250528,-27.906107067529717,4.745558227302136,-3.4932444982451614,-0.6124159282876429,False
20/50,16,12,50,0.001,0.005,-27.40719893883511,725.9280106116489,441,1.2049180327868851,32.6530612244898,0.7122088374610799,-29.39134870092876,4.710121009394099,-3.2064963459296334,-0.6214784339871902,False
20/50,8,8,20,0.001,0.005,-28.127621510974816,718.7237848902519,446,1.2185792349726776,34.97757847533632,0.71610054728524,-28.569705384197007,4.5479728296439275,-3.4164137121868996,-0.6306641594388972,False
20/50,8,12,50,0.002,0.01,-21.382571206602325,786.1742879339768,337,0.9207650273224044,34.42136498516321,0.851229102240462,-23.274532416468325,10.547035724461633,-6.503537810423408,-0.6344976619169843,False
50/200,16,4,20,0.001,0.005,-29.139219200984623,708.6078079901538,454,1.2404371584699454,34.801762114537446,0.7140407334348735,-30.94193425529921,4.605106055199258,-3.4425640159842175,-0.6418330220481182,False
20/50,8,4,20,0.001,0.005,-28.58723633454831,714.1276366545169,443,1.210382513661202,34.76297968397291,0.7056019876671968,-29.3809123205648,4.449143088335535,-3.3600013804469073,-0.6453100752719725,False
50/200,16,12,50,0.001,0.005,-28.230180834599594,717.6981916540041,436,1.1912568306010929,33.48623853211009,0.7127959438563667,-30.729007188561464,4.798830991699939,-3.389417700462715,-0.6474812118027438,False
50/200,8,4,50,0.0005,0.005,-31.3581326617116,686.418673382884,483,1.319672131147541,34.57556935817806,0.7055741105248134,-32.16746043997717,4.499874101161583,-3.370443992123736,-0.6492367010706338,False
20/50,8,4,50,0.0005,0.005,-31.625427254051385,683.7457274594861,481,1.314207650273224,33.471933471933475,0.6869171201960532,-32.80599531109955,4.309784412422279,-3.1566548841890665,-0.6574932901050193,False
20/50,8,12,50,0.001,0.01,-30.68369095772678,693.1630904227322,465,1.2704918032786885,38.064516129032256,0.8378360770722689,-35.61838464019504,8.956516880523328,-6.5699319355204775,-0.6598643216715451,False
20/50,8,4,20,0.0005,0.005,-32.15288246555682,678.4711753444318,479,1.3087431693989071,34.65553235908142,0.6841009261629224,-33.48038500452458,4.194533339726976,-3.2518254282755485,-0.6712501558571369,False
50/200,16,8,20,0.001,0.005,-30.01433528752227,699.8566471247773,444,1.2131147540983607,33.108108108108105,0.7026554253682468,-31.310827314063268,4.8249606977898845,-3.39869554023682,-0.6759985425117624,False
20/50,16,4,50,0.0005,0.005,-32.62271955286577,673.7728044713423,481,1.314207650273224,34.71933471933472,0.6845046402826451,-33.79130293098015,4.238255282747966,-3.2930440374126353,-0.6782270177310962,False
50/200,8,4,20,0.001,0.005,-30.538413410991016,694.6158658900898,447,1.221311475409836,34.675615212527966,0.6959015669296285,-31.241473183891404,4.508669526822753,-3.439136680710402,-0.6831859823487931,False
50/200,8,8,20,0.001,0.005,-30.83108816132219,691.6891183867781,450,1.2295081967213115,34.66666666666667,0.7006222828531172,-31.469851931056052,4.625180947618179,-3.502854113747137,-0.6851352924738278,False
20/50,8,12,50,0.0005,0.005,-33.267672351443174,667.3232764855683,485,1.325136612021858,33.608247422680414,0.6658911839005257,-35.216724559744435,4.0677114760704045,-3.0922785531487818,-0.6859313886895502,False
