ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,passes_robust_filter
50/200,8,12,50,0.0005,0.01,-61.013438676786535,389.8656132321346,479,1.3087431693989071,33.40292275574113,0.6443022378143042,-62.25493174379994,6.907390777959951,-5.377169000756925,-1.2737669869892834,False
50/200,8,8,50,0.0005,0.01,-61.966090399448404,380.33909600551596,486,1.3278688524590163,34.97942386831276,0.6324395728937724,-61.966090399448404,6.271847126593103,-5.335047200997818,-1.2750224362026397,False
50/200,16,8,50,0.0005,0.01,-61.409675314887565,385.9032468511244,481,1.314207650273224,33.88773388773389,0.6172990823159217,-61.409675314887565,6.076945262468234,-5.0460340595320705,-1.27670842650494,False
20/50,16,8,20,0.001,0.01,-56.36472016690776,436.35279833092244,439,1.1994535519125684,32.346241457858774,0.6332780435832233,-56.824624905007006,6.854511806300442,-5.175043360820673,-1.2839344001573512,False
50/200,8,12,20,0.0005,0.01,-62.43492907394359,375.65070926056404,484,1.3224043715846994,33.057851239669425,0.6081997066209719,-63.499534224367025,6.057439559670431,-4.91833216137872,-1.2899778734285874,False
20/50,16,12,50,0.0005,0.01,-60.77496171752803,392.25038282471974,471,1.2868852459016393,31.422505307855626,0.6348311629361809,-63.433872338827854,7.138837685803339,-5.152624132118183,-1.2903388899687456,False
50/200,16,4,50,0.0005,0.01,-62.785638189979146,372.1436181002085,478,1.3060109289617485,33.68200836820084,0.6430882421125441,-62.785638189979146,7.026582519150931,-5.549325449473478,-1.3135070751041684,False
50/200,8,4,20,0.0005,0.01,-63.14665523492589,368.5334476507411,480,1.3114754098360655,32.5,0.6229517885634274,-64.58548345320058,6.6878004380595355,-5.169022903353537,-1.3155553173942882,False
50/200,16,12,20,0.0005,0.01,-63.90479240181403,360.9520759818597,481,1.314207650273224,31.600831600831604,0.6018792965716753,-64.29617855137232,6.356008691378288,-4.878909559597685,-1.3285819626156725,False
20/50,8,8,50,0.0005,0.01,-64.00346031780305,359.96539682196965,478,1.3060109289617485,33.054393305439326,0.5980852779377335,-64.7018772426732,6.028032223695563,-4.976449045381035,-1.3389845254770545,False
50/200,8,8,20,0.0005,0.01,-65.96712617702822,340.3287382297177,488,1.3333333333333333,33.60655737704918,0.5889410297932879,-65.96712617702822,5.763036870898385,-4.953115149992646,-1.3517853724800868,False
50/200,16,8,20,0.0005,0.01,-64.68358619093699,353.16413809063005,475,1.2978142076502732,30.94736842105263,0.5822969770150933,-64.68358619093699,6.134139841490111,-4.7212024957573675,-1.361759709282885,False
20/50,16,8,20,0.0005,0.01,-63.94276250163406,360.5723749836594,466,1.273224043715847,31.115879828326182,0.5704956957482209,-64.36725552485423,5.857445338782052,-4.637872894516319,-1.3721622854427913,False
50/200,16,12,50,0.0005,0.01,-65.35438628817676,346.45613711823233,473,1.2923497267759563,31.289640591966172,0.6018025380094942,-66.75612006292992,6.673728776196455,-5.0500176054118215,-1.3816994986929523,False
