time,symbol,side,qty,entry_ref,sl,tp,score,type,dry_run,reason
2026-04-28T02:33:21,ETHUSDT,SELL,10.175,2278.84,2281.794464285714,2273.167428571429,80,trend,True,aligned trend
2026-04-28T02:34:15,ETHUSDT,SELL,10.175,2278.84,2281.794464285714,2273.167428571429,80,trend,True,aligned trend
2026-04-28T02:35:06,ETHUSDT,SELL,10.175,2278.84,2281.794464285714,2273.167428571429,80,trend,True,aligned trend
2026-04-28T02:55:39,SOLUSDT,SELL,225.97,84.12,84.25303571428572,83.86457142857144,76,trend,True,aligned trend
2026-04-28T02:56:30,SOLUSDT,SELL,225.97,84.12,84.25303571428572,83.86457142857144,76,trend,True,aligned trend
2026-04-28T02:57:21,SOLUSDT,SELL,225.97,84.12,84.25303571428572,83.86457142857144,76,trend,True,aligned trend
2026-04-28T02:58:14,SOLUSDT,SELL,225.97,84.12,84.25303571428572,83.86457142857144,76,trend,True,aligned trend
2026-04-28T02:59:06,SOLUSDT,SELL,225.97,84.12,84.25303571428572,83.86457142857144,76,trend,True,aligned trend
2026-04-28T02:59:58,SOLUSDT,SELL,225.97,84.12,84.25303571428572,83.86457142857144,76,trend,True,aligned trend
2026-04-28T03:15:17,SOLUSDT,SELL,200.42,84.11,84.25999999999999,83.822,72,trend,True,aligned trend
2026-04-28T03:16:09,SOLUSDT,SELL,200.42,84.11,84.25999999999999,83.822,72,trend,True,aligned trend
2026-04-28T03:17:01,SOLUSDT,SELL,200.42,84.11,84.25999999999999,83.822,72,trend,True,aligned trend
2026-04-28T03:17:55,SOLUSDT,SELL,200.42,84.11,84.25999999999999,83.822,72,trend,True,aligned trend
2026-04-28T03:18:46,SOLUSDT,SELL,200.42,84.11,84.25999999999999,83.822,72,trend,True,aligned trend
2026-04-28T03:19:38,SOLUSDT,SELL,200.42,84.11,84.25999999999999,83.822,72,trend,True,aligned trend
2026-04-28T03:25:47,SOLUSDT,SELL,198.06,84.19,84.3417857142857,83.97142857142858,69,trend,True,aligned trend
2026-04-28T03:26:38,SOLUSDT,SELL,198.06,84.19,84.3417857142857,83.97142857142858,69,trend,True,aligned trend
2026-04-28T03:27:30,SOLUSDT,SELL,198.06,84.19,84.3417857142857,83.97142857142858,69,trend,True,aligned trend
2026-04-28T03:28:23,SOLUSDT,SELL,198.06,84.19,84.3417857142857,83.97142857142858,69,trend,True,aligned trend
2026-04-28T03:29:15,SOLUSDT,SELL,198.06,84.19,84.3417857142857,83.97142857142858,69,trend,True,aligned trend
2026-04-28T03:30:07,SOLUSDT,SELL,198.06,84.19,84.3417857142857,83.97142857142858,69,trend,True,aligned trend
2026-04-28T04:05:55,SOLUSDT,SELL,273.74,84.1,84.20982142857142,83.88914285714286,79,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T04:06:46,SOLUSDT,SELL,273.74,84.1,84.20982142857142,83.88914285714286,79,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T04:07:39,SOLUSDT,SELL,273.74,84.1,84.20982142857142,83.88914285714286,79,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T04:08:33,SOLUSDT,SELL,273.74,84.1,84.20982142857142,83.88914285714286,79,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T04:09:25,SOLUSDT,SELL,273.74,84.1,84.20982142857142,83.88914285714286,79,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T04:10:19,SOLUSDT,SELL,273.74,84.1,84.20982142857142,83.88914285714286,79,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T05:06:02,SOLUSDT,SELL,280.59,84.18,84.28714285714287,83.97428571428571,79,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T05:06:54,SOLUSDT,SELL,280.59,84.18,84.28714285714287,83.97428571428571,79,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T05:07:45,SOLUSDT,SELL,280.59,84.18,84.28714285714287,83.97428571428571,79,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T05:08:36,SOLUSDT,SELL,280.59,84.18,84.28714285714287,83.97428571428571,79,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T05:09:27,SOLUSDT,SELL,280.59,84.18,84.28714285714287,83.97428571428571,79,reclaim,True,5m reclaimed EMA20 in aligned 15m/1h trend
2026-04-28T07:10:25,ETHUSDT,BUY,9.139,2304.2,2300.910714285714,2310.515428571428,72,breakout,True,15m close broke prev20 high 2297.89
2026-04-28T07:10:36,SOLUSDT,BUY,257.03,84.76,84.64303571428572,84.98457142857143,72,breakout,True,15m close broke prev20 high 84.72
2026-04-28T07:11:23,ETHUSDT,BUY,9.139,2304.2,2300.910714285714,2310.515428571428,72,breakout,True,15m close broke prev20 high 2297.89
2026-04-28T07:11:35,SOLUSDT,BUY,257.03,84.76,84.64303571428572,84.98457142857143,72,breakout,True,15m close broke prev20 high 84.72
2026-04-28T07:12:23,ETHUSDT,BUY,9.139,2304.2,2300.910714285714,2310.515428571428,72,breakout,True,15m close broke prev20 high 2297.89
2026-04-28T07:12:33,SOLUSDT,BUY,257.03,84.76,84.64303571428572,84.98457142857143,72,breakout,True,15m close broke prev20 high 84.72
2026-04-28T07:13:21,ETHUSDT,BUY,9.139,2304.2,2300.910714285714,2310.515428571428,72,breakout,True,15m close broke prev20 high 2297.89
2026-04-28T07:13:31,SOLUSDT,BUY,257.03,84.76,84.64303571428572,84.98457142857143,72,breakout,True,15m close broke prev20 high 84.72
2026-04-28T07:14:21,ETHUSDT,BUY,9.139,2304.2,2300.910714285714,2310.515428571428,72,breakout,True,15m close broke prev20 high 2297.89
2026-04-28T07:14:31,SOLUSDT,BUY,257.03,84.76,84.64303571428572,84.98457142857143,72,breakout,True,15m close broke prev20 high 84.72
2026-04-28T07:45:50,ETHUSDT,BUY,7.278,2306.08,2301.949642857143,2314.0102857142856,72,breakout,True,15m close broke prev20 high 2305.33
2026-04-28T07:46:43,ETHUSDT,BUY,7.278,2306.08,2301.949642857143,2314.0102857142856,72,breakout,True,15m close broke prev20 high 2305.33
2026-04-28T07:47:34,ETHUSDT,BUY,7.278,2306.08,2301.949642857143,2314.0102857142856,72,breakout,True,15m close broke prev20 high 2305.33
2026-04-28T07:48:25,ETHUSDT,BUY,7.278,2306.08,2301.949642857143,2314.0102857142856,72,breakout,True,15m close broke prev20 high 2305.33
2026-04-28T07:49:17,ETHUSDT,BUY,7.278,2306.08,2301.949642857143,2314.0102857142856,72,breakout,True,15m close broke prev20 high 2305.33
2026-04-28T07:50:09,ETHUSDT,BUY,7.278,2306.08,2301.949642857143,2314.0102857142856,72,breakout,True,15m close broke prev20 high 2305.33
2026-04-28T07:55:32,ETHUSDT,BUY,7.421,2306.5,2302.449107142857,2312.3332857142855,65,breakout,True,15m close broke prev20 high 2305.33
2026-04-28T07:56:23,ETHUSDT,BUY,7.421,2306.5,2302.449107142857,2312.3332857142855,65,breakout,True,15m close broke prev20 high 2305.33
2026-04-28T07:57:14,ETHUSDT,BUY,7.421,2306.5,2302.449107142857,2312.3332857142855,65,breakout,True,15m close broke prev20 high 2305.33
2026-04-28T07:58:05,ETHUSDT,BUY,7.421,2306.5,2302.449107142857,2312.3332857142855,65,breakout,True,15m close broke prev20 high 2305.33
2026-04-28T07:58:56,ETHUSDT,BUY,7.421,2306.5,2302.449107142857,2312.3332857142855,65,breakout,True,15m close broke prev20 high 2305.33
2026-04-28T07:59:49,ETHUSDT,BUY,7.421,2306.5,2302.449107142857,2312.3332857142855,65,breakout,True,15m close broke prev20 high 2305.33
2026-04-28T08:45:16,SOLUSDT,SELL,206.57,84.41,84.55553571428571,84.20042857142857,58,trend,True,aligned trend
2026-04-28T08:46:08,SOLUSDT,SELL,206.57,84.41,84.55553571428571,84.20042857142857,58,trend,True,aligned trend
2026-04-28T08:47:01,SOLUSDT,SELL,206.57,84.41,84.55553571428571,84.20042857142857,58,trend,True,aligned trend
