logged_at,market,symbol,candle_time,signal_time,close,side_candidate,m15_trend,ema50,ema200,adx,adx_rising,donchian_high,donchian_low,donchian_breakout_buy,donchian_breakout_sell,bos_buy,bos_sell,m1_confirm_buy,m1_confirm_sell,tier,risk_pct,breakout_body_ratio,breakout_move_atr_ratio,wick_pct,close_quality,atr_pct,entry,sl,tp,rr,spread,spread_points,spread_pct,final_signal,blocked_by,block_reason,external_blocked_by,external_block_reason
2026-04-29T09:25:52,bitcoin_demo,BTCUSDT,2026-04-29 02:20:00,2026-04-29 02:25:00,76474.2,NONE,DOWN,76312.57193399739,76830.06201521262,22.58842380127221,False,76556.8,76152.0,False,False,False,False,False,False,,,0.004336983627823475,,0.9813084112152202,,0.0009932388028530475,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:25:58,bitcoin_demo,ETHUSDT,2026-04-29 02:20:00,2026-04-29 02:25:00,2289.71,NONE,DOWN,2286.720990328977,2297.6604410443347,25.58607488741003,True,2293.89,2278.73,False,False,False,False,False,False,,,1.0244033252882039,,0.14222222222229497,,0.0012649761635440816,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:30:08,bitcoin_demo,ETHUSDT,2026-04-29 02:25:00,2026-04-29 02:30:00,2288.63,NONE,DOWN,2286.720990328977,2297.660483915457,25.58607488741003,True,2293.89,2278.73,False,False,False,False,False,False,,,0.6018389523543779,,0.42245989304813353,,0.0011925412645493818,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:30:13,bitcoin_demo,SOLUSDT,2026-04-29 02:25:00,2026-04-29 02:30:00,84.05,NONE,DOWN,83.77941199464512,84.41454927329123,32.47189191764555,True,84.15,83.76,False,False,False,False,False,False,,,0.8264462809916928,,0.2857142857144017,,0.0009263193677233089,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:30:51,bitcoin_demo,BTCUSDT,2026-04-29 02:25:00,2026-04-29 02:30:00,76473.0,NONE,DOWN,76312.57193399739,76830.06243765612,22.58842380127221,False,76556.8,76152.0,False,False,False,False,False,False,,,0.027109454422162577,,0.7333333333339801,,0.0008906971835064292,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:35:15,bitcoin_demo,ETHUSDT,2026-04-29 02:30:00,2026-04-29 02:35:00,2285.85,NONE,DOWN,2286.795853453331,2297.570628354109,25.858392285630167,True,2293.89,2278.73,False,False,False,True,False,False,,,1.5384615384616545,,0.3059701492537373,,0.0012736743755839281,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:35:21,bitcoin_demo,SOLUSDT,2026-04-29 02:30:00,2026-04-29 02:35:00,84.05,NONE,DOWN,83.79002328897276,84.41092191733807,36.75649620224961,True,84.15,83.76,False,False,False,False,False,False,,,0.0,,1.0,,0.0009263193677232968,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:36:02,bitcoin_demo,BTCUSDT,2026-04-29 02:30:00,2026-04-29 02:35:00,76400.8,NONE,DOWN,76318.86323070337,76826.50957757994,22.69766940081273,True,76556.8,76152.0,False,False,False,False,False,False,,,1.6370026074139674,,0.3151785714285974,,0.0009750271874490687,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:40:26,bitcoin_demo,BTCUSDT,2026-04-29 02:35:00,2026-04-29 02:40:00,76399.1,NONE,DOWN,76318.86323070337,76826.50957757994,22.69766940081273,True,76556.8,76152.0,False,False,False,False,False,False,,,0.03876410899548498,,0.7995689655171849,,0.0010389052825416848,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:40:32,bitcoin_demo,ETHUSDT,2026-04-29 02:35:00,2026-04-29 02:40:00,2285.89,NONE,DOWN,2286.795853453331,2297.570628354109,25.858392285630167,True,2293.89,2278.73,False,False,False,False,False,False,,,0.0221238938052897,,0.5161290322576859,,0.0012564659091832185,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:40:38,bitcoin_demo,SOLUSDT,2026-04-29 02:35:00,2026-04-29 02:40:00,84.05,NONE,DOWN,83.79002328897276,84.41092191733807,36.75649620224961,True,84.15,83.76,False,False,False,False,False,False,,,0.0,,1.0,,0.0009433160533696046,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:45:32,bitcoin_demo,BTCUSDT,2026-04-29 02:40:00,2026-04-29 02:45:00,76402.4,NONE,DOWN,76318.86323070337,76826.51161771883,22.69766940081273,True,76556.8,76152.0,False,False,False,False,False,False,,,0.07730147575516932,,0.7823275862069348,,0.0010387669198125742,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:45:38,bitcoin_demo,ETHUSDT,2026-04-29 02:40:00,2026-04-29 02:45:00,2285.98,NONE,DOWN,2286.795853453331,2297.570710962498,25.858392285630167,True,2293.89,2278.73,False,False,False,False,False,False,,,0.0499583680267256,,0.7571428571426901,,0.0011879868965232645,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:45:44,bitcoin_demo,SOLUSDT,2026-04-29 02:40:00,2026-04-29 02:45:00,84.05,NONE,DOWN,83.79002328897276,84.41092693150446,36.75649620224961,True,84.15,83.76,False,False,False,False,False,False,,,0.0,,1.0,,0.0009518143961927706,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:50:36,bitcoin_demo,BTCUSDT,2026-04-29 02:45:00,2026-04-29 02:50:00,76413.7,NONE,DOWN,76322.1391824405,76822.29160162213,23.34504488283465,True,76556.8,76152.0,False,False,False,False,False,False,,,0.2681219599004057,,0.0,,0.0009685062084043222,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:50:42,bitcoin_demo,ETHUSDT,2026-04-29 02:45:00,2026-04-29 02:50:00,2286.29,NONE,DOWN,2286.763859200259,2297.45538050516,24.111907948389955,False,2293.89,2278.73,False,False,False,False,False,False,,,0.1851298895192281,,0.5694444444444006,,0.0011175310218738365,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:50:47,bitcoin_demo,SOLUSDT,2026-04-29 02:45:00,2026-04-29 02:50:00,84.05,NONE,DOWN,83.80021845411109,84.40733561875317,41.214039027815865,True,84.15,83.76,False,False,False,False,False,False,,,0.0,,1.0,,0.0009603127390159243,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:55:37,bitcoin_demo,BTCUSDT,2026-04-29 02:50:00,2026-04-29 02:55:00,76450.0,NONE,DOWN,76322.1391824405,76822.29160162213,23.34504488283465,True,76556.8,76152.0,False,False,False,False,False,False,,,1.0202360876897658,,0.35413839891454135,,0.000957301691114687,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:55:42,bitcoin_demo,ETHUSDT,2026-04-29 02:50:00,2026-04-29 02:55:00,2287.73,NONE,DOWN,2286.763859200259,2297.45538050516,24.111907948389955,False,2293.89,2278.73,False,False,False,False,False,False,,,0.9779286926995339,,0.04635761589414145,,0.0010319024909907347,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T09:55:48,bitcoin_demo,SOLUSDT,2026-04-29 02:50:00,2026-04-29 02:55:00,83.99,NONE,DOWN,83.80021845411109,84.40733561875317,41.214039027815865,True,84.15,83.76,False,False,False,True,False,False,,,1.621621621621663,,0.571428571428557,,0.0009950164135186538,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:00:37,bitcoin_demo,BTCUSDT,2026-04-29 02:55:00,2026-04-29 03:00:00,76467.1,NONE,DOWN,76322.1391824405,76822.29183854153,23.34504488283465,True,76556.8,76152.0,False,False,False,False,False,False,,,0.4581379772272066,,0.2331838565020812,,0.0008566709455065823,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:00:43,bitcoin_demo,ETHUSDT,2026-04-29 02:55:00,2026-04-29 03:00:00,2287.11,NONE,DOWN,2286.763859200259,2297.455370414152,24.111907948389955,False,2293.89,2278.73,False,False,False,False,False,False,,,0.06781959986429963,,0.540322580645117,,0.0008204365209493804,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:00:49,bitcoin_demo,SOLUSDT,2026-04-29 02:55:00,2026-04-29 03:00:00,83.99,NONE,DOWN,83.80021845411109,84.40733668426347,41.214039027815865,True,84.15,83.76,False,False,False,True,False,False,,,0.0,,0.7000000000000142,,0.0008844590342388237,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:05:49,bitcoin_demo,BTCUSDT,2026-04-29 03:00:00,2026-04-29 03:05:00,76543.1,NONE,DOWN,76327.823920384,76818.75759139187,21.5844159767743,False,76556.8,76152.0,False,False,True,False,False,False,,,2.2199739846798763,,0.011583011582937104,,0.0007417856270333201,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:05:55,bitcoin_demo,ETHUSDT,2026-04-29 03:00:00,2026-04-29 03:05:00,2288.05,NONE,DOWN,2286.7774333492684,2297.3524314050564,20.212345475765996,False,2293.89,2278.73,False,False,False,False,False,False,,,0.6683256309989805,,0.4576923076921698,,0.0008525662838286966,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:06:02,bitcoin_demo,SOLUSDT,2026-04-29 03:00:00,2026-04-29 03:05:00,84.04,NONE,DOWN,83.80766086767537,84.40318408043996,44.22155782480824,True,84.15,83.76,False,False,False,False,False,False,,,1.3157894736844764,,0.33333333333322807,,0.0009009315292038187,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:10:09,bitcoin_demo,BTCUSDT,2026-04-29 03:05:00,2026-04-29 03:10:00,76493.6,NONE,DOWN,76327.823920384,76818.75759139187,21.5844159767743,False,76556.8,76152.0,False,False,False,False,False,False,,,1.3219388436372936,,0.01754385964929201,,0.0007439464590128555,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:10:14,bitcoin_demo,ETHUSDT,2026-04-29 03:05:00,2026-04-29 03:10:00,2289.24,NONE,DOWN,2286.7774333492684,2297.3524314050564,20.212345475765996,False,2293.89,2278.73,False,False,False,False,False,False,,,0.8235294117644393,,0.5220883534137735,,0.000863667792430143,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:10:19,bitcoin_demo,SOLUSDT,2026-04-29 03:05:00,2026-04-29 03:10:00,84.12,NONE,DOWN,83.80766086767537,84.40318408043996,44.22155782480824,True,84.15,83.76,False,False,False,False,False,False,,,1.9753086419751917,,0.11111111111116374,,0.0009340398070783668,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
