symbol,variant,strategy,timestamp,entry_time,exit_time,side,pattern,entry,sl,tp,rr,qty,spread,slippage,fee,gross_pnl,pnl,r_multiple,result,balance,atr,atr_percentile_100,m15_adx
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-03-26 13:00:00+00:00,2025-03-26 13:05:00+00:00,2025-03-26 14:00:00+00:00,SELL,session_breakout,3024.813108651852,3029.994,3015.487504225185,1.8,4.825424491663162,0.06616928571428649,0.022806705291147224,2.914701451438486,45.00000000000044,42.08529854856195,1.683411941942478,TP,10043.144581512452,2.205642857142883,100.0,19.750277906197685
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-04-02 12:25:00+00:00,2025-04-02 12:30:00+00:00,2025-04-02 13:50:00+00:00,BUY,session_breakout,3125.9541583613113,3117.046,3141.988843411672,1.8,2.8064162070328713,0.08566285714285543,0.07532693274021882,1.7520456824933965,-25.0,-26.752045682493396,-1.0700818272997359,SL,10016.392535829958,2.8554285714285146,72.0,23.02494613702874
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-04-03 12:20:00+00:00,2025-04-03 12:25:00+00:00,2025-04-03 14:00:00+00:00,SELL,session_breakout,3080.676432330569,3097.309,3050.737810525592,1.8,1.5030752014282731,0.14053499999999824,0.10430016943143226,0.9285976698121208,-25.0,-25.92859766981212,-1.0371439067924848,SL,9990.463938160146,4.684499999999941,68.0,45.51265925747012
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-04-11 13:30:00+00:00,2025-04-11 13:35:00+00:00,2025-04-11 13:50:00+00:00,BUY,session_breakout,3240.6129174856387,3225.711,3267.436368959789,1.8,1.6776364534357844,0.17203285714285552,0.14290105706715678,1.0848140723697595,-25.0,-26.08481407236976,-1.0433925628947904,SL,9964.379124087776,5.734428571428517,74.0,26.486869484803904
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-04-21 13:00:00+00:00,2025-04-21 13:05:00+00:00,2025-04-22 01:05:00+00:00,BUY,session_breakout,3421.335005068959,3398.008,3463.323614193086,1.8,1.0717192338277004,0.13261714285714366,0.07269649753057524,0.7345052424013024,11.631363412231112,10.896858169829809,0.4358743267931924,TIMEOUT,9975.275982257606,4.4205714285714555,100.0,28.364920124046165
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-04-23 13:25:00+00:00,2025-04-23 13:30:00+00:00,2025-04-23 14:00:00+00:00,SELL,session_breakout,3299.591370026565,3320.54,3261.883836074382,1.8,1.1933954646056892,0.2031985714285695,0.19903068772047616,0.7830434752083552,45.00000000000021,44.21695652479186,1.7686782609916745,TP,10019.492938782398,6.773285714285651,78.0,22.560104668224394
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-04-25 13:20:00+00:00,2025-04-25 13:25:00+00:00,2025-04-25 19:30:00+00:00,SELL,session_breakout,3270.337939587348,3298.252,3220.0926308445746,1.8,0.8956060003606239,0.20633142857142858,0.19089469836623624,0.5882868563802857,-25.0,-25.588286856380286,-1.0235314742552115,SL,9993.904651926017,6.877714285714286,89.0,31.5080885248663
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-04-30 12:00:00+00:00,2025-04-30 12:05:00+00:00,2025-04-30 12:15:00+00:00,SELL,session_breakout,3267.573342015208,3281.671,3242.197557642582,1.8,1.773344198516447,0.11945999999999815,0.10092798479230056,1.1614064458579334,-25.0,-26.161406445857935,-1.0464562578343175,SL,9967.74324548016,3.9819999999999385,85.0,43.24131785778276
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-04-30 12:20:00+00:00,2025-04-30 12:25:00+00:00,2025-05-01 00:20:00+00:00,BUY,session_breakout,3290.179006172002,3266.901,3332.0794172816063,1.8,1.0739751426850663,0.15381214285714284,0.06710010057350242,0.7042140935225972,-25.000000000000004,-25.7042140935226,-1.028168563740904,SL,9942.039031386637,5.127071428571428,97.0,44.343344543550394
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-05-02 13:00:00+00:00,2025-05-02 13:05:00+00:00,2025-05-02 14:55:00+00:00,SELL,session_breakout,3244.003969841912,3263.926,3208.1443155573534,1.8,1.254892187272908,0.15889714285714296,0.09958158665969347,0.8166750474473826,-25.0,-25.816675047447383,-1.0326670018978954,SL,9916.22235633919,5.296571428571432,100.0,20.422343309001352
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-05-14 12:50:00+00:00,2025-05-14 12:55:00+00:00,2025-05-15 00:55:00+00:00,SELL,session_breakout,3186.2653554371304,3221.493,3122.8555952239653,1.8,0.7096699285523733,0.21265500000000104,0.07031706286943853,0.4523502376139226,-1.1089618552843785,-1.561312092898301,-0.062452483715932046,TIMEOUT,9914.661044246293,7.088500000000034,100.0,20.548243138493692
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-05-15 12:50:00+00:00,2025-05-15 12:55:00+00:00,2025-05-15 15:05:00+00:00,BUY,session_breakout,3188.620223890027,3177.747,3208.1920268920753,1.8,2.299226085368309,0.1302021428571457,0.05312281859841843,1.4707717590201774,44.99999999999958,43.52922824097941,1.7411691296391762,TP,9958.190272487273,4.340071428571524,65.0,28.573355861432
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-05-28 13:35:00+00:00,2025-05-28 13:40:00+00:00,2025-05-28 20:50:00+00:00,SELL,session_breakout,3303.6705227576995,3316.438,3280.6890637215583,1.8,1.9581002202354534,0.11382000000000095,0.08856724230064007,1.2892835956394455,45.0,43.710716404360554,1.7484286561744222,TP,10001.900988891633,3.7940000000000316,98.0,19.47008735358178
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-05-29 12:15:00+00:00,2025-05-29 12:20:00+00:00,2025-05-29 16:05:00+00:00,BUY,session_breakout,3308.8565513238823,3298.541,3327.4245437068703,1.8,2.4235253371403505,0.10334357142857113,0.08487953816802063,1.6083195378192539,45.00000000000044,43.391680462181185,1.7356672184872475,TP,10045.292669353814,3.4447857142857043,100.0,33.53063891306181
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-05-30 12:10:00+00:00,2025-05-30 12:15:00+00:00,2025-05-30 13:40:00+00:00,BUY,session_breakout,3303.0569231551035,3288.365,3329.5023848342903,1.8,1.7016152164745995,0.14142642857142912,0.13820994081781723,1.1216063842644992,-25.0,-26.1216063842645,-1.04486425537058,SL,10019.17106296955,4.714214285714304,100.0,26.073140583746437
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-06-03 13:45:00+00:00,2025-06-03 13:50:00+00:00,2025-06-04 01:20:00+00:00,SELL,session_breakout,3343.8179970198344,3363.095,3309.1193916555367,1.8,1.2968820944688908,0.12839785714285493,0.06780405159427587,0.8698075374995708,-25.0,-25.86980753749957,-1.034792301499983,SL,9993.30125543205,4.279928571428497,100.0,26.21077909916798
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-06-11 12:15:00+00:00,2025-06-11 12:20:00+00:00,2025-06-11 12:35:00+00:00,BUY,session_breakout,3338.101872857628,3327.196,3357.732444001359,1.8,2.2923428804245867,0.09899999999999863,0.055372857628215644,1.5349148124754326,44.99999999999958,43.465085187524146,1.7386034075009658,TP,10036.766340619575,3.2999999999999545,97.0,30.652943272538636
XAUUSDm,asym_sellBase_buy_body2.2_wick0.3_atr50_closeOff,momentum,2025-06-16 13:50:00+00:00,2025-06-16 13:55:00+00:00,2025-06-17 01:55:00+00:00,SELL,session_breakout,3389.734766620894,3417.401,3339.9355465385033,1.8,0.9036286095555187,0.17297357142857242,0.10874659339156378,0.6129695786257497,-3.5731584102195497,-4.1861279888453,-0.167445119553812,TIMEOUT,10032.58021263073,5.765785714285747,100.0,35.415918947083775
