symbol,variant,strategy,timestamp,entry_time,exit_time,side,pattern,entry,sl,tp,rr,qty,spread,slippage,fee,gross_pnl,pnl,r_multiple,result,balance,atr,atr_percentile_100,m15_adx,m15_rsi14,m15_macd_hist,m15_bb_pct
XAUUSDm,both_baseline,momentum,2026-02-24 13:35:00+00:00,2026-02-24 13:40:00+00:00,2026-02-24 14:13:00+00:00,SELL,session_breakout,5138.423030398959,5161.12,5097.568485117085,1.8,1.1014686294884648,0.2371114285714267,0.09641388675555407,1.127462354605101,44.999999999999595,43.872537645394495,1.7549015058157797,TP,10419.766378601078,7.903714285714224,92.0,28.697801795800675,38.462225944107544,-1.5018241050500643,0.07621202290591408
XAUUSDm,both_baseline,momentum,2026-02-27 13:15:00+00:00,2026-02-27 13:20:00+00:00,2026-03-01 23:01:00+00:00,BUY,session_breakout,5218.654637006121,5182.863,5283.079583617139,1.8,0.6984871911760964,0.15895071428571358,0.12516164897892557,0.7335326838241034,44.999999999999744,44.26646731617564,1.7706586926470258,TP,10464.032845917254,5.29835714285712,96.0,21.011152787242228,76.85786507947311,3.0871142504707265,1.4424883213652238
XAUUSDm,both_baseline,momentum,2026-03-06 13:30:00+00:00,2026-03-06 13:35:00+00:00,2026-03-08 22:03:00+00:00,BUY,session_breakout,5124.062030090054,5065.362,5229.72208425215,1.8,0.4258941598777156,0.3191828571428576,0.19543866148181196,0.43884202505017184,23.804063568707036,23.365221543656865,0.9346088617462747,TIMEOUT,10487.398067460912,10.639428571428587,100.0,32.269028977247274,44.44919040340553,-0.053648268511880204,0.32464069546954843
XAUUSDm,both_baseline,momentum,2026-03-11 12:55:00+00:00,2026-03-11 13:00:00+00:00,2026-03-12 01:00:00+00:00,SELL,session_breakout,5166.937364405824,5196.653,5113.449220336307,1.8,0.8413079343623294,0.24058499999999836,0.13634309417629464,0.8688721575275608,5.249226779997493,4.380354622469933,0.1752141848987973,TIMEOUT,10491.778422083382,8.019499999999946,100.0,33.44240933449603,42.32796600339126,0.33181110146247006,0.14044657019767695
XAUUSDm,both_baseline,momentum,2026-03-18 12:05:00+00:00,2026-03-18 12:10:00+00:00,2026-03-18 20:28:00+00:00,SELL,session_breakout,4913.137669325803,4966.259,4817.519274112247,1.8,0.4706207409097004,0.37023642857142863,0.18921245991148256,0.4579448980258936,44.999999999999915,44.54205510197402,1.7816822040789608,TP,10536.320477185356,12.341214285714289,100.0,40.301700145599256,15.774514626102857,-6.111281237924068,-0.12281802998373802
XAUUSDm,both_baseline,momentum,2026-03-19 12:00:00+00:00,2026-03-19 12:05:00+00:00,2026-03-19 13:02:00+00:00,SELL,session_breakout,4629.970035462909,4695.267,4512.435499296147,1.8,0.38286618952706974,0.40764214285714323,0.3021434656623214,0.3500317970204393,44.999999999999865,44.64996820297942,1.785998728119177,TP,10580.970445388335,13.58807142857144,45.0,62.785720474995564,23.12282323957868,-0.3421923205306143,0.07155013661130145
XAUUSDm,both_baseline,momentum,2026-03-20 13:30:00+00:00,2026-03-20 13:35:00+00:00,2026-03-20 14:15:00+00:00,SELL,session_breakout,4644.864585460504,4681.746,4578.478039289411,1.8,0.6778481875533139,0.32604642857143384,0.18039132520955817,0.6252026081369956,44.99999999999975,44.37479739186276,1.7749918956745103,TP,10625.345242780199,10.868214285714462,70.0,18.014851889985096,42.506104760197296,-0.1819259109801532,0.28092310608082127
XAUUSDm,both_baseline,momentum,2026-03-30 13:40:00+00:00,2026-03-30 13:45:00+00:00,2026-03-31 00:23:00+00:00,SELL,session_breakout,4544.303643446579,4578.633,4482.510801650423,1.8,0.7282396907468136,0.28368857142857123,0.10251226770620132,0.657368455992631,44.999999999999865,44.34263154400723,1.7737052617602893,TP,10669.687874324205,9.456285714285709,89.0,42.69311928505708,65.79862997566858,1.2984776228032047,0.8242857290566448
XAUUSDm,both_baseline,momentum,2026-04-09 13:35:00+00:00,2026-04-09 13:40:00+00:00,2026-04-10 01:40:00+00:00,BUY,session_breakout,4770.258389146939,4738.562,4827.31188961143,1.8,0.788733375404495,0.22024499999999989,0.08426664693877299,0.7527326176575253,2.402174928303113,1.6494423106455878,0.0659776924258235,TIMEOUT,10671.33731663485,7.341499999999996,85.0,19.548493915416145,61.150039063530585,0.7966545701716576,0.8476276026010289
XAUUSDm,both_baseline,momentum,2026-04-17 12:45:00+00:00,2026-04-17 12:50:00+00:00,2026-04-19 22:01:00+00:00,BUY,session_breakout,4836.564901924644,4800.857,4900.839125389003,1.8,0.7001251446460979,0.21645000000000436,0.21067692464422394,0.6747401403100463,-25.0,-25.674740140310046,-1.026989605612402,SL,10645.66257649454,7.2150000000001455,100.0,20.33483815266089,74.81297830224916,3.4245626246058656,1.2057288622126627
