symbol,variant,strategy,month,trades,pnl,wins,losses
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr20,sweep,2026-01,66,-917.1356045120065,16,50
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr20,sweep,2026-02,63,-418.00480555687227,19,44
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr20,sweep,2026-03,71,-518.7145666599338,20,51
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr20,sweep,2026-04,65,-361.908116963073,21,44
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr20,sweep,2026-05,12,-160.8117851825565,3,9
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2025-01,66,-1266.017971454341,16,50
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2025-02,63,-989.2331594028391,16,47
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2025-03,63,-556.0674330455964,23,40
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2025-04,66,-223.33734946412955,24,42
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2025-05,71,-788.3831298838837,19,52
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2025-06,62,-901.1710620405161,15,47
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2025-07,75,-975.8975072538196,23,52
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2025-08,66,-1185.4176978213318,17,49
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2025-09,68,-833.649609123617,20,48
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2025-10,71,59.234135328955304,30,41
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2025-11,60,-213.7859966749033,22,38
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2025-12,68,-915.2387567111377,17,51
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2026-01,64,-622.2677606049268,19,45
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2026-02,61,-211.09003376641758,21,40
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2026-03,71,-355.57993921376044,22,49
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2026-04,63,-359.425540115925,20,43
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr30,sweep,2026-05,12,-236.09646719892856,2,10
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2025-01,66,-1313.6669388614043,15,51
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2025-02,62,-941.1055853792761,16,46
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2025-03,63,-618.8446966925443,22,41
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2025-04,66,-286.1988358097626,23,43
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2025-05,70,-748.5780940403026,19,51
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2025-06,62,-807.792512915362,16,46
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2025-07,75,-1067.0619433669258,22,53
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2025-08,65,-964.7997989321067,19,46
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2025-09,67,-702.0603362476402,21,46
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2025-10,66,21.408617065110377,27,39
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2025-11,59,-23.59247156913979,24,35
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2025-12,65,-747.4421377005152,18,47
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2026-01,63,-495.61744139592713,20,43
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2026-02,60,-257.3370137229551,20,40
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2026-03,71,-108.65478847706191,25,46
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2026-04,62,-35.95406755497963,24,38
XAUUSDm,A_sweep_lb30_wick1.5_rr2_atr40,sweep,2026-05,12,-161.18486495970268,3,9
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2025-01,66,-596.2518951502998,30,36
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2025-02,63,-1121.2854235899317,17,46
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2025-03,64,-887.4947986250029,23,41
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2025-04,67,-547.0980001819695,24,43
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2025-05,69,-987.8256742033741,18,51
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2025-06,62,-764.464939329765,20,42
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2025-07,75,-1057.894863590318,26,49
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2025-08,64,-1427.136745304834,16,48
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2025-09,67,-827.250086180883,24,43
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2025-10,71,-250.11209237014364,31,40
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2025-11,61,-81.27722767331983,29,32
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2025-12,66,-566.3186217879877,25,41
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2026-01,66,-1024.4264222626641,17,49
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2026-02,63,-412.7578761498059,23,40
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2026-03,71,-643.2366250462544,22,49
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2026-04,65,-511.44218724491134,23,42
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr20,sweep,2026-05,12,-197.97384049333562,3,9
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2025-01,65,-547.154274851661,30,35
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2025-02,63,-997.325352281732,19,44
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2025-03,63,-830.2534172635376,23,40
